userid,age,area
92842632,26y - 30y,NCSA
103973922,13y - 15y,APAC
5270060,++50y,EMEA
171847029,19y - 25y,NCSA
111479516,++50y,NCSA
64350600,19y - 25y,NCSA
117217039,19y - 25y,EMEA
208164637,13y - 15y,APAC
93085014,16y - 18y,EMEA
180331040,13y - 15y,APAC
180596443,13y - 15y,APAC
303032390,13y - 15y,EMEA
150103338,13y - 15y,NCSA
289573472,<13y,EMEA
92173524,19y - 25y,APAC
151229648,41y - 50y,EMEA
253773352,13y - 15y,NCSA
250870371,31y - 40y,NCSA
243036117,31y - 40y,NCSA
175143479,19y - 25y,NCSA
56038151,26y - 30y,APAC
124884511,19y - 25y,NCSA
148928721,++50y,APAC
150965343,16y - 18y,EMEA
46759859,++50y,NCSA
268158408,++50y,APAC
257377008,++50y,EMEA
133262375,19y - 25y,EMEA
202092286,13y - 15y,NCSA
136554467,13y - 15y,APAC
185040259,31y - 40y,APAC
287943546,<13y,APAC
136246724,31y - 40y,EMEA
189191657,19y - 25y,APAC
235076531,41y - 50y,APAC
41917762,19y - 25y,NCSA
57234698,41y - 50y,EMEA
198201128,<13y,NCSA
307949159,13y - 15y,EMEA
55446861,++50y,NCSA
2428602,++50y,EMEA
104077418,++50y,APAC
252438345,<13y,NCSA
164927653,19y - 25y,APAC
272820556,26y - 30y,EMEA
9544834,19y - 25y,APAC
287061478,16y - 18y,NCSA
32592631,19y - 25y,NCSA
57103808,31y - 40y,EMEA
215578265,<13y,NCSA
197172884,31y - 40y,EMEA
242349023,13y - 15y,APAC
99609673,31y - 40y,NCSA
63276972,13y - 15y,APAC
183005527,<13y,APAC
92342574,++50y,NCSA
255168531,31y - 40y,NCSA
87445402,++50y,EMEA
248613483,++50y,NCSA
306860604,26y - 30y,NCSA
107948398,19y - 25y,EMEA
84668956,41y - 50y,APAC
226130045,26y - 30y,NCSA
145904806,16y - 18y,NCSA
164591420,13y - 15y,NCSA
171982044,13y - 15y,APAC
187533357,<13y,EMEA
94088853,16y - 18y,EMEA
48058475,31y - 40y,NCSA
170095814,13y - 15y,APAC
212751581,41y - 50y,NCSA
301883131,19y - 25y,NCSA
31887051,31y - 40y,NCSA
116085629,31y - 40y,APAC
106238372,31y - 40y,APAC
217834203,31y - 40y,NCSA
202395275,++50y,NCSA
248444377,16y - 18y,NCSA
25941262,26y - 30y,EMEA
148510973,13y - 15y,EMEA
64369759,16y - 18y,NCSA
289893544,31y - 40y,EMEA
223471406,++50y,EMEA
223827574,26y - 30y,APAC
210778610,13y - 15y,EMEA
116407650,++50y,EMEA
125699277,26y - 30y,APAC
173857208,19y - 25y,EMEA
9823354,26y - 30y,EMEA
304467587,13y - 15y,NCSA
165269326,13y - 15y,NCSA
226033921,++50y,EMEA
232064401,41y - 50y,APAC
141593973,<13y,APAC
174965596,<13y,NCSA
100519466,31y - 40y,EMEA
107886872,16y - 18y,EMEA
153415214,13y - 15y,APAC
180789959,26y - 30y,APAC
236160325,31y - 40y,EMEA
236541446,16y - 18y,NCSA
155997063,<13y,NCSA
168031436,<13y,NCSA
169358223,26y - 30y,APAC
181269219,<13y,EMEA
162543176,++50y,NCSA
95898619,13y - 15y,APAC
185685666,19y - 25y,NCSA
308280913,41y - 50y,NCSA
69857045,26y - 30y,NCSA
215492239,++50y,EMEA
16167221,31y - 40y,EMEA
19586574,<13y,EMEA
200759485,31y - 40y,APAC
82792088,41y - 50y,NCSA
153290864,31y - 40y,EMEA
213909719,++50y,EMEA
219446813,16y - 18y,NCSA
41883322,++50y,EMEA
260269555,19y - 25y,NCSA
186333740,++50y,EMEA
237047627,<13y,NCSA
142004534,<13y,EMEA
307663333,<13y,EMEA
99017037,16y - 18y,APAC
170491009,13y - 15y,APAC
195459356,41y - 50y,EMEA
30280104,16y - 18y,NCSA
227153589,19y - 25y,EMEA
64365339,41y - 50y,NCSA
103669953,++50y,NCSA
103360,41y - 50y,NCSA
299670894,19y - 25y,EMEA
237275985,13y - 15y,EMEA
178709401,13y - 15y,EMEA
198156213,16y - 18y,EMEA
190231757,16y - 18y,EMEA
76216184,++50y,EMEA
96674283,41y - 50y,NCSA
212284721,16y - 18y,EMEA
20321898,31y - 40y,EMEA
48239695,16y - 18y,APAC
207216516,31y - 40y,EMEA
201512283,41y - 50y,EMEA
293463755,19y - 25y,APAC
131227694,26y - 30y,EMEA
201697182,41y - 50y,EMEA
150751526,41y - 50y,EMEA
241208825,41y - 50y,NCSA
249165768,19y - 25y,APAC
124462762,19y - 25y,APAC
239478937,41y - 50y,APAC
83851086,19y - 25y,EMEA
145658798,31y - 40y,APAC
210669058,<13y,EMEA
130280718,26y - 30y,APAC
81569401,26y - 30y,APAC
186996848,13y - 15y,APAC
108601099,19y - 25y,NCSA
108560573,41y - 50y,APAC
89161051,31y - 40y,APAC
287706524,31y - 40y,APAC
65716118,<13y,NCSA
144004666,<13y,APAC
58237510,16y - 18y,APAC
113308351,41y - 50y,NCSA
200538601,19y - 25y,APAC
303326013,++50y,APAC
154210162,31y - 40y,EMEA
146463817,19y - 25y,APAC
303693006,41y - 50y,NCSA
98152188,19y - 25y,EMEA
231450817,26y - 30y,NCSA
162649407,13y - 15y,NCSA
229467150,26y - 30y,NCSA
246892835,26y - 30y,APAC
288856904,31y - 40y,NCSA
75228114,26y - 30y,EMEA
36553207,<13y,EMEA
70165453,16y - 18y,NCSA
143693450,++50y,NCSA
139955299,13y - 15y,APAC
136021775,41y - 50y,NCSA
39446138,<13y,NCSA
211404615,<13y,APAC
215540943,31y - 40y,EMEA
81743539,<13y,EMEA
128790593,16y - 18y,NCSA
198346312,26y - 30y,EMEA
155182551,++50y,NCSA
169218314,13y - 15y,NCSA
252016836,31y - 40y,NCSA
97913360,41y - 50y,APAC
124777563,41y - 50y,NCSA
217268143,19y - 25y,NCSA
88919723,41y - 50y,EMEA
26802825,13y - 15y,NCSA
115436501,++50y,NCSA
27117407,13y - 15y,NCSA
76684659,13y - 15y,APAC
78332414,26y - 30y,APAC
291151096,16y - 18y,NCSA
130201800,16y - 18y,NCSA
88585138,41y - 50y,EMEA
154671192,<13y,NCSA
139352395,19y - 25y,EMEA
143459727,16y - 18y,NCSA
42681063,41y - 50y,EMEA
169337011,16y - 18y,EMEA
260118401,16y - 18y,APAC
201445671,19y - 25y,APAC
24932641,26y - 30y,APAC
244273527,<13y,EMEA
193987636,<13y,EMEA
242549338,<13y,APAC
209729995,19y - 25y,EMEA
71082079,31y - 40y,NCSA
212521878,19y - 25y,APAC
184620989,<13y,APAC
242199141,26y - 30y,NCSA
166705920,41y - 50y,NCSA
228302915,13y - 15y,NCSA
64315060,26y - 30y,APAC
246056879,++50y,EMEA
154406815,19y - 25y,APAC
141037251,41y - 50y,EMEA
74154832,++50y,NCSA
298979438,13y - 15y,NCSA
149318464,31y - 40y,APAC
29835809,26y - 30y,NCSA
174813416,13y - 15y,NCSA
42928788,++50y,EMEA
269437356,19y - 25y,NCSA
61444633,19y - 25y,APAC
298519243,16y - 18y,APAC
25096601,41y - 50y,EMEA
120377800,16y - 18y,APAC
233160273,41y - 50y,EMEA
42642155,41y - 50y,APAC
33591806,31y - 40y,NCSA
157397663,19y - 25y,APAC
234024191,13y - 15y,EMEA
88735140,31y - 40y,EMEA
115003799,16y - 18y,APAC
57866383,13y - 15y,EMEA
168845004,19y - 25y,EMEA
144347801,16y - 18y,APAC
112590296,26y - 30y,APAC
209193781,++50y,EMEA
14433556,16y - 18y,EMEA
42061089,13y - 15y,EMEA
158267574,31y - 40y,EMEA
307239317,31y - 40y,APAC
62654923,26y - 30y,APAC
56256991,19y - 25y,NCSA
86338111,41y - 50y,NCSA
67923337,16y - 18y,EMEA
149501464,<13y,EMEA
74232403,19y - 25y,APAC
305808638,13y - 15y,APAC
83978676,26y - 30y,APAC
82235763,13y - 15y,NCSA
146682210,41y - 50y,NCSA
300645203,26y - 30y,APAC
211925330,13y - 15y,NCSA
178717672,<13y,APAC
218354629,16y - 18y,NCSA
288854118,26y - 30y,NCSA
189822258,31y - 40y,APAC
194791978,<13y,APAC
34150817,31y - 40y,NCSA
202949952,26y - 30y,NCSA
130954987,31y - 40y,APAC
108877388,31y - 40y,EMEA
214366018,19y - 25y,APAC
72576293,31y - 40y,EMEA
179686274,<13y,EMEA
227083521,41y - 50y,EMEA
236775073,13y - 15y,EMEA
286701848,16y - 18y,EMEA
253983004,13y - 15y,NCSA
162582760,<13y,EMEA
112994491,19y - 25y,EMEA
85614332,16y - 18y,APAC
211760999,19y - 25y,APAC
216653925,16y - 18y,EMEA
124451578,26y - 30y,NCSA
58152057,31y - 40y,APAC
111316830,26y - 30y,APAC
185283602,13y - 15y,APAC
92914917,19y - 25y,EMEA
135599605,16y - 18y,APAC
158173228,26y - 30y,EMEA
147563118,++50y,NCSA
138847348,31y - 40y,NCSA
77870593,13y - 15y,APAC
161383225,19y - 25y,NCSA
60760816,19y - 25y,APAC
253006481,41y - 50y,NCSA
72842694,++50y,EMEA
290367158,41y - 50y,NCSA
42223842,<13y,EMEA
144508237,13y - 15y,EMEA
17649444,<13y,APAC
214388411,++50y,EMEA
141161011,41y - 50y,NCSA
54916182,++50y,NCSA
168041218,41y - 50y,NCSA
155881626,13y - 15y,NCSA
23663429,13y - 15y,APAC
201176964,13y - 15y,EMEA
179481154,26y - 30y,EMEA
246753573,++50y,EMEA
115396529,++50y,NCSA
255957600,31y - 40y,APAC
276118496,26y - 30y,APAC
43804972,++50y,NCSA
216115170,13y - 15y,EMEA
182579698,<13y,NCSA
242412972,16y - 18y,NCSA
215008934,26y - 30y,APAC
161220142,++50y,NCSA
81079291,31y - 40y,NCSA
20200395,19y - 25y,EMEA
32498610,31y - 40y,EMEA
292731142,++50y,APAC
43321203,<13y,EMEA
221952355,31y - 40y,EMEA
4834220,++50y,APAC
189623540,<13y,EMEA
54704882,19y - 25y,NCSA
208071792,31y - 40y,EMEA
65229865,26y - 30y,NCSA
53079481,26y - 30y,EMEA
146809006,41y - 50y,EMEA
208226134,31y - 40y,NCSA
240524467,16y - 18y,EMEA
183103599,41y - 50y,APAC
181064527,13y - 15y,EMEA
65958466,13y - 15y,APAC
77905942,31y - 40y,NCSA
181321171,++50y,APAC
172348107,16y - 18y,NCSA
215748805,++50y,APAC
129520075,31y - 40y,EMEA
276055488,19y - 25y,NCSA
230952269,41y - 50y,NCSA
248255491,26y - 30y,EMEA
165216297,++50y,EMEA
234292025,26y - 30y,APAC
226923581,41y - 50y,APAC
134590374,13y - 15y,EMEA
43908860,26y - 30y,APAC
203238341,++50y,APAC
228343275,13y - 15y,EMEA
198249024,13y - 15y,NCSA
282061856,31y - 40y,NCSA
33250362,31y - 40y,EMEA
248518501,<13y,APAC
308692673,13y - 15y,APAC
105796956,++50y,APAC
186055359,31y - 40y,EMEA
87821312,31y - 40y,EMEA
85714521,<13y,APAC
170375966,26y - 30y,EMEA
130950166,13y - 15y,NCSA
194545521,26y - 30y,APAC
109458201,26y - 30y,APAC
23718710,13y - 15y,APAC
126602285,13y - 15y,EMEA
252696188,31y - 40y,NCSA
95440541,41y - 50y,NCSA
49767455,26y - 30y,APAC
304222866,16y - 18y,EMEA
227940830,++50y,APAC
303269114,26y - 30y,NCSA
238411403,++50y,NCSA
97238489,13y - 15y,NCSA
58117481,41y - 50y,APAC
61676491,13y - 15y,EMEA
223991842,19y - 25y,EMEA
166753156,16y - 18y,NCSA
135879753,16y - 18y,APAC
101369449,19y - 25y,APAC
176033341,16y - 18y,APAC
103363050,31y - 40y,EMEA
171512034,41y - 50y,APAC
267438860,16y - 18y,EMEA
68224834,<13y,EMEA
110928152,16y - 18y,NCSA
155613860,13y - 15y,NCSA
157469247,++50y,EMEA
80119032,19y - 25y,EMEA
128831281,31y - 40y,APAC
176743370,41y - 50y,APAC
122803519,<13y,NCSA
187498422,31y - 40y,APAC
34177747,<13y,NCSA
138929901,13y - 15y,NCSA
170760116,13y - 15y,NCSA
293570114,31y - 40y,EMEA
124712421,19y - 25y,APAC
110879737,41y - 50y,EMEA
187678142,26y - 30y,APAC
175033323,31y - 40y,EMEA
58192081,31y - 40y,EMEA
175945017,16y - 18y,APAC
44866715,16y - 18y,EMEA
6394150,19y - 25y,NCSA
176750719,<13y,APAC
86686260,13y - 15y,APAC
57088976,16y - 18y,APAC
23883383,16y - 18y,APAC
184794116,++50y,NCSA
239794225,26y - 30y,EMEA
232207754,16y - 18y,NCSA
47519224,++50y,EMEA
235194002,13y - 15y,NCSA
141677474,26y - 30y,EMEA
225269666,41y - 50y,NCSA
161816929,++50y,NCSA
304848876,<13y,EMEA
198893163,++50y,NCSA
111343998,<13y,APAC
49350285,19y - 25y,EMEA
236950689,16y - 18y,EMEA
31727716,<13y,NCSA
285926554,26y - 30y,NCSA
142001340,++50y,APAC
60217594,++50y,NCSA
291447290,31y - 40y,APAC
51044834,16y - 18y,EMEA
14165501,31y - 40y,EMEA
169414467,++50y,EMEA
148976064,++50y,NCSA
113045977,19y - 25y,EMEA
196223620,26y - 30y,NCSA
197090954,++50y,NCSA
85643975,26y - 30y,NCSA
242013874,13y - 15y,APAC
126158311,31y - 40y,NCSA
71687719,19y - 25y,EMEA
157414627,26y - 30y,EMEA
242781058,<13y,EMEA
303525289,31y - 40y,NCSA
282307340,<13y,APAC
50246981,19y - 25y,EMEA
88296152,26y - 30y,NCSA
264929688,41y - 50y,APAC
76190673,13y - 15y,NCSA
230633575,16y - 18y,APAC
127706455,31y - 40y,NCSA
117129725,13y - 15y,APAC
42005897,26y - 30y,EMEA
93454114,++50y,NCSA
187283749,31y - 40y,APAC
201990605,13y - 15y,EMEA
29122428,16y - 18y,EMEA
87879009,13y - 15y,NCSA
283853460,41y - 50y,NCSA
42099265,31y - 40y,EMEA
300534109,41y - 50y,APAC
4064412,++50y,EMEA
183382406,13y - 15y,EMEA
242242432,<13y,EMEA
91800733,31y - 40y,EMEA
93812486,16y - 18y,APAC
191480137,13y - 15y,EMEA
293691139,41y - 50y,EMEA
293269191,31y - 40y,EMEA
227777777,13y - 15y,NCSA
145844862,31y - 40y,EMEA
205634951,++50y,NCSA
216040174,26y - 30y,NCSA
172318605,16y - 18y,NCSA
106760673,26y - 30y,APAC
62539628,<13y,NCSA
251928689,19y - 25y,NCSA
149438233,16y - 18y,NCSA
293843600,16y - 18y,APAC
180955576,++50y,EMEA
87162199,31y - 40y,EMEA
167874227,<13y,APAC
286095646,<13y,EMEA
198417932,31y - 40y,NCSA
234838943,19y - 25y,EMEA
79407831,31y - 40y,APAC
156312176,19y - 25y,NCSA
81139130,++50y,APAC
167017825,13y - 15y,APAC
3974133,19y - 25y,EMEA
213406926,13y - 15y,APAC
259791209,31y - 40y,NCSA
78799565,26y - 30y,NCSA
159995376,19y - 25y,EMEA
309824202,16y - 18y,EMEA
138412880,19y - 25y,EMEA
228170321,16y - 18y,APAC
36154073,31y - 40y,APAC
210744685,13y - 15y,EMEA
183300822,++50y,NCSA
229791471,++50y,NCSA
262861632,41y - 50y,NCSA
242896221,13y - 15y,APAC
170473291,16y - 18y,EMEA
162999869,41y - 50y,APAC
298913000,31y - 40y,APAC
80419227,16y - 18y,NCSA
104055167,++50y,APAC
212374494,41y - 50y,EMEA
170527593,13y - 15y,EMEA
178893007,13y - 15y,EMEA
159365538,41y - 50y,APAC
135540095,++50y,APAC
201743677,26y - 30y,NCSA
132118265,<13y,NCSA
109201849,13y - 15y,EMEA
123245831,26y - 30y,NCSA
237468202,19y - 25y,NCSA
214077903,41y - 50y,APAC
259268105,41y - 50y,NCSA
96771844,++50y,NCSA
196119233,19y - 25y,NCSA
149291366,19y - 25y,EMEA
273544140,13y - 15y,EMEA
1950243,13y - 15y,APAC
244878837,++50y,NCSA
110095045,++50y,EMEA
294281624,<13y,EMEA
229095219,19y - 25y,EMEA
62985928,19y - 25y,APAC
182220992,13y - 15y,APAC
266888336,41y - 50y,EMEA
278567826,<13y,EMEA
142183287,26y - 30y,NCSA
43913966,16y - 18y,EMEA
209127185,++50y,EMEA
153164320,26y - 30y,APAC
259330363,41y - 50y,EMEA
121280370,13y - 15y,EMEA
149122593,41y - 50y,APAC
286545176,16y - 18y,NCSA
255467165,31y - 40y,EMEA
213023790,31y - 40y,EMEA
219466905,19y - 25y,NCSA
69132252,41y - 50y,EMEA
306592834,41y - 50y,EMEA
143734410,13y - 15y,EMEA
141414004,16y - 18y,NCSA
47409520,26y - 30y,NCSA
106802395,26y - 30y,EMEA
131730206,<13y,NCSA
126098408,++50y,APAC
163137081,13y - 15y,EMEA
127813787,31y - 40y,NCSA
120725727,<13y,APAC
151397156,41y - 50y,NCSA
198105109,++50y,APAC
118894547,26y - 30y,NCSA
283975164,<13y,NCSA
117531196,26y - 30y,APAC
49110638,13y - 15y,EMEA
190788774,19y - 25y,EMEA
193129684,31y - 40y,EMEA
108755905,31y - 40y,APAC
202340310,<13y,EMEA
23780966,26y - 30y,NCSA
144737312,26y - 30y,EMEA
171874166,++50y,NCSA
87071236,19y - 25y,EMEA
178915960,31y - 40y,EMEA
62317148,41y - 50y,EMEA
204459221,41y - 50y,EMEA
37708732,13y - 15y,EMEA
103620349,16y - 18y,NCSA
216921535,31y - 40y,NCSA
156407138,13y - 15y,NCSA
293360401,<13y,NCSA
140065934,++50y,APAC
1364546,31y - 40y,NCSA
181608676,<13y,EMEA
192277804,<13y,EMEA
83813208,41y - 50y,NCSA
86150792,41y - 50y,APAC
130290346,<13y,APAC
214736709,<13y,APAC
101487265,++50y,EMEA
73507733,++50y,EMEA
76319436,41y - 50y,NCSA
58977564,13y - 15y,APAC
205546094,<13y,APAC
182399789,41y - 50y,NCSA
156458299,26y - 30y,EMEA
64787956,16y - 18y,NCSA
41883229,19y - 25y,APAC
139854220,31y - 40y,EMEA
131973876,++50y,NCSA
163861892,26y - 30y,EMEA
33033120,16y - 18y,APAC
230382937,16y - 18y,NCSA
187374370,<13y,APAC
302345333,41y - 50y,NCSA
214051309,31y - 40y,EMEA
26218938,16y - 18y,APAC
303322239,26y - 30y,APAC
299060755,<13y,APAC
180743752,26y - 30y,EMEA
188241866,13y - 15y,APAC
106057222,26y - 30y,APAC
178883999,16y - 18y,EMEA
170267441,31y - 40y,EMEA
277003854,26y - 30y,NCSA
288094442,13y - 15y,EMEA
212310741,13y - 15y,EMEA
44482198,++50y,NCSA
89286594,41y - 50y,EMEA
299364834,<13y,APAC
192264666,41y - 50y,APAC
112088340,31y - 40y,NCSA
200175559,++50y,NCSA
214107899,41y - 50y,APAC
138570935,26y - 30y,APAC
159960477,19y - 25y,APAC
178007464,13y - 15y,EMEA
194680258,19y - 25y,EMEA
75034989,41y - 50y,NCSA
248878320,26y - 30y,EMEA
29383643,13y - 15y,EMEA
195171884,26y - 30y,EMEA
128478373,<13y,NCSA
37179655,19y - 25y,APAC
135177440,++50y,APAC
139396034,++50y,EMEA
300089223,++50y,NCSA
90650405,<13y,APAC
55623839,13y - 15y,NCSA
136913396,31y - 40y,EMEA
110150300,26y - 30y,APAC
60594845,++50y,NCSA
141566602,<13y,NCSA
12070928,<13y,NCSA
205827348,16y - 18y,NCSA
299833904,19y - 25y,APAC
291846968,26y - 30y,NCSA
74565055,26y - 30y,APAC
80022321,16y - 18y,APAC
109271976,19y - 25y,EMEA
242469861,19y - 25y,APAC
58029555,26y - 30y,EMEA
91881892,13y - 15y,EMEA
49845280,++50y,EMEA
298644485,41y - 50y,APAC
58667850,16y - 18y,NCSA
234559223,26y - 30y,NCSA
111456195,13y - 15y,NCSA
113423671,26y - 30y,NCSA
181840406,++50y,NCSA
79411077,26y - 30y,APAC
208127048,31y - 40y,EMEA
167202599,41y - 50y,EMEA
191507469,++50y,NCSA
77136810,13y - 15y,APAC
249232725,++50y,NCSA
32467994,31y - 40y,EMEA
259053705,31y - 40y,APAC
138656604,31y - 40y,NCSA
271808456,++50y,EMEA
246303844,++50y,APAC
299914260,++50y,NCSA
121360145,<13y,EMEA
203745259,31y - 40y,APAC
206398775,41y - 50y,EMEA
159129006,31y - 40y,EMEA
238773402,16y - 18y,NCSA
164271888,31y - 40y,APAC
83751255,31y - 40y,APAC
278099058,31y - 40y,NCSA
30527047,41y - 50y,APAC
163662283,19y - 25y,EMEA
172086978,13y - 15y,NCSA
96977722,16y - 18y,APAC
184812615,41y - 50y,NCSA
207234237,16y - 18y,NCSA
241603501,26y - 30y,NCSA
144565105,++50y,APAC
118725402,++50y,NCSA
160640171,16y - 18y,NCSA
156799348,31y - 40y,NCSA
4485779,19y - 25y,EMEA
291452278,<13y,APAC
10267553,41y - 50y,APAC
295708462,<13y,NCSA
304497842,26y - 30y,APAC
168925642,13y - 15y,EMEA
93575977,41y - 50y,APAC
68316900,<13y,EMEA
105289933,26y - 30y,APAC
153026960,19y - 25y,EMEA
27417971,26y - 30y,APAC
102825821,19y - 25y,APAC
218680215,13y - 15y,APAC
285380840,41y - 50y,NCSA
71943253,<13y,EMEA
167106826,++50y,NCSA
142475478,41y - 50y,APAC
154281477,31y - 40y,APAC
239299518,26y - 30y,EMEA
86915561,26y - 30y,NCSA
150882304,16y - 18y,EMEA
277679482,41y - 50y,NCSA
202616779,<13y,EMEA
160264413,<13y,APAC
98312003,16y - 18y,NCSA
141693292,16y - 18y,NCSA
161444156,19y - 25y,APAC
239791382,++50y,EMEA
54194546,<13y,EMEA
148860618,41y - 50y,APAC
200491490,<13y,NCSA
276137458,26y - 30y,APAC
199899325,<13y,APAC
160427210,26y - 30y,APAC
242815838,31y - 40y,EMEA
248472567,++50y,NCSA
167360036,13y - 15y,APAC
140672677,<13y,APAC
204888877,26y - 30y,NCSA
283498338,41y - 50y,APAC
208491021,41y - 50y,APAC
299776839,41y - 50y,EMEA
54739142,31y - 40y,EMEA
299489226,31y - 40y,APAC
196237754,13y - 15y,EMEA
30988672,<13y,APAC
149053502,<13y,APAC
297517705,19y - 25y,APAC
128964236,19y - 25y,NCSA
279734186,13y - 15y,NCSA
302553338,19y - 25y,NCSA
204495708,16y - 18y,EMEA
180534642,19y - 25y,APAC
260320188,++50y,NCSA
237554603,<13y,NCSA
196862501,26y - 30y,NCSA
207270682,13y - 15y,NCSA
147602462,26y - 30y,EMEA
76171050,<13y,APAC
200471514,31y - 40y,EMEA
221083006,31y - 40y,APAC
58439284,<13y,APAC
206696458,41y - 50y,NCSA
137508279,19y - 25y,APAC
169277417,<13y,NCSA
309038666,16y - 18y,NCSA
186597710,31y - 40y,EMEA
73141776,16y - 18y,APAC
90362252,41y - 50y,EMEA
52907921,16y - 18y,NCSA
178269176,13y - 15y,APAC
171932001,26y - 30y,EMEA
152082114,19y - 25y,APAC
164699741,31y - 40y,APAC
158211774,++50y,EMEA
201081230,26y - 30y,EMEA
146813551,26y - 30y,EMEA
103574570,41y - 50y,EMEA
101315169,41y - 50y,EMEA
179001580,41y - 50y,APAC
56790646,19y - 25y,EMEA
299440710,19y - 25y,EMEA
266829332,<13y,APAC
58768356,++50y,EMEA
240477898,41y - 50y,NCSA
251706843,<13y,NCSA
130324181,++50y,NCSA
1851828,16y - 18y,EMEA
12610800,<13y,APAC
231029951,16y - 18y,NCSA
136778642,41y - 50y,NCSA
30036927,19y - 25y,APAC
172666220,31y - 40y,APAC
186305384,19y - 25y,EMEA
181118785,26y - 30y,EMEA
83420834,19y - 25y,APAC
106170243,16y - 18y,EMEA
187588985,26y - 30y,NCSA
64394438,<13y,EMEA
225245513,++50y,NCSA
15902605,13y - 15y,EMEA
231808839,19y - 25y,APAC
21138994,31y - 40y,NCSA
160550083,26y - 30y,EMEA
104032602,16y - 18y,NCSA
158655873,++50y,APAC
242782489,26y - 30y,EMEA
260048725,<13y,EMEA
73012771,19y - 25y,APAC
271030096,41y - 50y,APAC
97017439,16y - 18y,EMEA
179014686,13y - 15y,NCSA
126471719,19y - 25y,APAC
245767059,16y - 18y,APAC
169061944,26y - 30y,NCSA
249269233,13y - 15y,APAC
11973378,41y - 50y,NCSA
99992274,13y - 15y,NCSA
291293152,<13y,NCSA
75277726,16y - 18y,NCSA
118664413,26y - 30y,NCSA
186139058,<13y,NCSA
178290786,19y - 25y,APAC
184899103,13y - 15y,APAC
163043651,16y - 18y,EMEA
248532700,16y - 18y,EMEA
166747492,16y - 18y,APAC
28696163,16y - 18y,EMEA
220489263,19y - 25y,EMEA
146999982,19y - 25y,APAC
78341587,19y - 25y,APAC
108183518,31y - 40y,NCSA
106235885,41y - 50y,APAC
39010350,26y - 30y,NCSA
87832209,16y - 18y,APAC
115806772,26y - 30y,APAC
18869916,<13y,EMEA
10216256,31y - 40y,EMEA
259994621,16y - 18y,EMEA
65421540,13y - 15y,EMEA
5232588,++50y,NCSA
37092665,++50y,NCSA
67628444,41y - 50y,NCSA
195800610,19y - 25y,NCSA
206210282,<13y,EMEA
17299575,26y - 30y,EMEA
287668512,<13y,NCSA
193442134,++50y,NCSA
15680561,++50y,APAC
101030173,41y - 50y,APAC
57798235,26y - 30y,APAC
286468828,41y - 50y,EMEA
240704163,26y - 30y,APAC
288449536,++50y,EMEA
